"","pair_ids","unique_in_earlier","unique_in_later"
"21","20_21","voldoende, schaduw, minuten, aftelt, huid, bruin, gekregen, wist, welke, lekkerste, half, ontdooide, zouden, vertelde, gevallen, aangesproken, Volgens, zwijg, Zoals, ..., besloten, mooiste, gedachten, eigen, vul, merkte, knikte, kleuter, braafste, klas, butchvrouwen, vond, verwrongen, vertaling, neer, zal, beleefd, geworden, slecht, communiceert, gezellig, terugkeer, voortdurend, keek, thuiskwam, rinkelde, sleutels, lawaai, geven, snel, computer, onderbroek, begeerd, onderscheid, man-vrouw, achterhaald","parelt, zweet, voorhoofd, lol, ijdelheid, boomtakken, dichter, zoeken, verstand, magnetron, ontdooistand, gauw, behandeling, alinea, konden, loop, zonne-energie, zussen, Dik, afwijst, lijden, onbereikbaar, Ga, gedachtengang, vermoedt, venijn, Vul, waarom, inkwam, ecologische, geesteswetenschappen, herinner, lezing, Theodor, Adorno, einde, saai, hadden, begrepen, losraak, slechtbetaalde, baantjes, thuis, extra, sleutelbos, rammelde, Larry, pornofilmpjes, wegklikken, kleren, trekken, wegvluchtte, glazen, salontafel, smakte, diepe, snijwond, opliep, lesje, geleerd, terras, hotel, cocktail, studenten, behandelde, merk, knik, enthousiast, wc, kleiner, gisteren, google, trans-vrouw, slimmer, In, boek, Female, stelt, vrouwelijk, skeptisch, bestaan, bizarre, claims, broad, indefensible, sweeping, generalisaties, geschiedenis, erom, reactie, lezer, provocatieve, uitspraken, bewust, maken, emoties, argument, or, production, truth, realiseren, dwars, verkeerd/fout, niveau, have, investments, some, being, and, other, not, those, that, tendrils, desire, Provocation, can, be, education, senses, if, let, it, The, trick, to, get, crushed, by, lelijk-mooi-discriminatie, oneerlijk"
"22","21_22","redding, armoede, extra, Larry, wegklikken, lesje, geleerd, behandelde","HOE, IK, TREURIG, WORD, OM, BIJ, VROUWEN, TE, ZIEN, ZE, EEN, ONBEREIKBAAR, SCHOONHEIDSIDEAAL, NAJAGEN, MAAR, ZELF, OOK, JALOERS, BEN, OF, ALS, ZIEK, DENK, DAAR, VAL, VAN, AF.Het, HET, GEHEIME, GEESTESLEVEN, DIE, VRIENDIN, iK, HAAT, JE, ZEGT, HAAR, MAN, WELEENS, bikinilijn, gebleven, Barry, klonk, klikken, keek, naakt, behandelt, eenvoudige, kiest, dwaal, citeert"
"23","22_23","Verhaal, Gids, Dank, lenen, pofmouwen, tik, harder","wij, dank, hamer, schold, verkeer, aluminiumfoliehouder, rust, scheld, momenten, verzameld, eruit, rollen, vaart, verrast, zachte, verstikkende, wanneer, soms, erbij, stoppen, kotsen, bevallen, kracht, gerechtvaardigd, rechts-extremistisch, ingehouden, gedraag, meerdere, steekt, sigaret, last, geldgebrek, betaald, enkel, bedanken, zouden, gulzig, zo'n, honger, Vinden, bedoelde, warm"
"24","23_24","boomtakken, gemaakt, gegooid, Stop, Trappen, passen, alinea, signaleren, dichtvallende, viel, naam, riep, wakker, houden, flauwvallen, ergens, pijn, cancel-cultuur, invloed, HOE, IK, TREURIG, WORD, OM, BIJ, VROUWEN, TE, ZIEN, ZE, EEN, ONBEREIKBAAR, SCHOONHEIDSIDEAAL, NAJAGEN, MAAR, ZELF, OOK, JALOERS, BEN, OF, ALS, ZIEK, DENK, DAAR, VAL, AF.Het, lijden, onbereikbaar, Wees, Voed, Streef, tienerjongen, jou, Ga, bovendien, invult, losraak, Barry, gestommel, klonk, pornofilmpjes, klikken, kleren, trekken, enkels, wegvluchtte, glazen, salontafel, smakte, diepe, snijwond, opliep, keek, mannelijke, theorie, dwaal","geest, Mensen, yogadocent, achteren, verbergen, genitalien, ervan, jaren, gezin, hoogseizoen, waarschuwde, boekte, kennen, uitdrukkingsloze, tien, weken, vakantie, vond, tickets, Voor, terugvliegen, zeker, nergens, gereserveerd, restaurants, matig, goedkoop, gooide, omgaan, huren, gesignaleerd, Intussen, cancelcultuur, beinvloedt, verband, Toch, zwijg, telefoonscherm, dun, ziet, achterkant, spiegel, bekijk, gezond, gewicht, Daar, periode, stress, weinig, at, mager, verwoestende, onuitroeibare, gestresst, juist, liefst, patat, Verlies, eigen, terugzak, moeras, idiote, XL-massagestoel, aantreffen, pik, afstandbediening, trakteer, drinker, cocktails, betalen, plaatselijke, soort, pakken, cliche, lijken, theorieen, allen, strookje, schaduw, grapje, lachte, Bij, herinnering, vriendin."
"25","24_25","citeert, kleiner, gisteren","stilte, spreekt, engels, moedertaalciteert"
"26","25_26","kennen, gesignaleerd, Intussen, blijf, vergeefs, naiefs, stiekem, slanker, cocktails, androgynie, vriendschappelijk, HET, GEHEIME, GEESTESLEVEN, VAN, DIE, VRIENDIN, iK, HAAT, JE, ZEGT, HAAR, MAN, WELEENS, studenten, stilte, Bij, herinnering, vriendin., spreekt, engels, moedertaalciteert","kent, signaleren, vertelde, fietsongeluk, Vergeefs, waterijs, even, Morgen, Volgens, besloten, mooiste, vakgebied, jeugd, Florida, vuilstort, weten, androgyne, wezenlijk, bestaat, verzonnen, geloven, erin, slechter, gewend, Alle, heteroseksuele, gemiddelde, aandacht, wiens, filosofiestudenten, gedachten, dwalen, Nu, eraan, krimp, gevoelens, oproepen, citeert, Amerikaanse, zelden, verlangens, correcte, dwingen, lach, lezen, opkijk, geheim, geestesleven, vermoed"
"27","26_27","geest, verstand, schudde, konden, klootzakken, Alle, gemiddelde, wiens, kiest, aluminiumfoliehouder, rust, Vinden","Anders, kiezen, lust, vanavond, veertig, liever, jongere, begeerlijk, verlegt, Alsof, lesbische, daarop, speciaal, I'm, betekent, sexy, geil, Vrouwen, via, geven, haten, onszelf, gelooft, zelf-ontkenning, female, handeling, sacrificed, room, for, desires, another.the, may, real, imagined, someone, else, do, your, desiring, own, expense, knappe, privileges, schoonheid"
"28","27_28","gewicht, treurig, juist, liefst, vakgebied, angst, gebleven, lachte, betekent, sexy, geil, oneerlijk, knappe, privileges, schoonheid, lelijk-mooi-discriminatie, Al, bezig","trok, stinkende, bang, gestommel, gemeenschap, riep, zweeg, terugdenk, studenten, gigantisch, Ondertussen, Vanmorgen"
"29","28_29","Anders, kiezen, lust, waardesysteem, zwijg, Intelligentie, vijfendertig, volwassenen, even, afwijst, verwoestende, onuitroeibare, trok, stinkende, gestommel, weten, lesbische, gemeenschap, Nu, eraan, terugdenk, onszelf, gebloemde, aantal, tanden, Ondertussen, maak, campagne, EU, gelanceerd, gebruiken, Vanmorgen, v, tiende, last, betaald, enkel, a-relaxed, omgaat, gefocust, baantje, slachthuis, zeventien, minder, vlees, Twee, vegetarier, neiging, logeren, verblijf, zonde, besteed, Aantekeningen, zus, 6, uur, ochtends, Schiphol, ophalen, boos, kickboksen, komen.Waarom","eter, controle, waardensysteem, intelligentie, keelgat, ontstond, stikt, omvang, beoordeelt, afschuwelijk, hardnekkige, Vaak, redding, armoede, o, mist, gedraagt, blijkbaar, Opnieuw, ontkennen, ballonmouwen, mode, peervorm, verbergt, auto, stapte, Intussen, publiceerde, EU-campagne, kapen, #Letstalkaboutpork, Alles, aarzelend, uitgever, vijfentwintigste, solliciteerde, zin, onthouden, zoek, aanstoot, verhullen, verstikken, kende, Nederland, landde, verheugde, schuifdeuren, open, vliegveld, nadat, maand, eindelijk, stikken, beste, mocht, kickboksles, eraf, kapot, redacteur, ging, schrijven, sindsdien, onthullen, twaalfde, Zou, ergeren, raakte, inmiddels, vierentwintig, gisteren, pizza, gingen, portemonnee, trucje, ontspannen, Ook, Zodra, tafel, haast, graaien, Zouden, -------, AANTEKENINGEN, -----------"
"30","29_30","","middenrif"
