"","pair_ids","unique_in_earlier","unique_in_later"
"21","20_21","voldoende, schaduw, minuut, aftellen, huid, bruin, welk, lekker, half, aanspreken, zagen, hit, dikke, ..., besluiten, gedacht, eigen, invullen, kleuter, braaf, klas, butchvrouw, verwringen, vertaling, neer, beleven, stil, slecht, communiceert, gezellig, terugkeer, voortdurend, thuiskomen, rinkelen, sleutel, lawaai, snel, computer, onderbroek, begeren, onderscheid, man-vrouw, achterhalen","parellen, zweet, voorhoofd, lol, ijdelheid, boomtak, dichter, verstand, magnetron, ontdooistand, gauw, behandeling, alineum, verkeren, konden, loop, zonne-energie, hitte, zussen, leren, afwijzen, lijden, onbereikbaar, gedachtengang, vermoeden, venijn, invult, stillen, inkomen, ecologisch, geesteswetenschap, lezing, Theodor, Adorno, einde, saai, losraak, slechtbetalen, baann, thuis, extra, sleutelbos, rammelen, Larry, pornofilmp, wegklikken, kleren, wegvluchten, glazen, salontafel, smken, diep, snijwond, oplopen, les, terras, hotel, cocktail, student, behandelen, dromen, wc, googal, trans-vrouw, slimmer, boek, Female, stellen, skeptisch, bestaan, bizar, claim, broad, indefensible, sweeping, generalisatie, geschiedenis, erom, reactie, lezer, provocatief, bewust, emotie, argument, or, production, truth, realiseren, dwars, verkeerd/fout, niveau, haaf, investment, some, being, and, other, not, those, thatten, tendrils, desir, Provocation, can, be, education, senses, if, let, ien, The, trick, desire, to, gen, crushed, by, it, lelijk-mooi-discriminatie, oneerlijk"
"22","21_22","stillen, redding, armoede, extra, Larry, wegklikken, les, gestommellen","TREURIG, Word, Om, Vrouwen, Ze, SCHOONHEIDSIDEAAL, NAJAGEN, Maar, Zelf, JALOERS, ziek, Denk, val, Van, AF.Het, geheim, GEESTESLEVEN, zegt, stil, bikinilijn, Barry, gestommel, klonk, klikken, naken, eenvoudig, kiezen, dwalen, citeren, kopieer"
"23","22_23","De, gids, danken, dromen, lenen, pofmouw, tikken","wij, dank, hamren, schollen, verkeer, aluminiumfoliehouder, rust, schellen, verzamelen, eruit, rollen, vaart, verrassen, verstikken, wanneer, erbij, kots, bevallen, kracht, spijten, rechtvaardig, tekort, kwaeden, gedragen, meerdere, steken, sigaret, last, geldgebrek, betalen, bedanken, gulzig, eet, zo'n, honger, warm"
"24","23_24","overhangen, boomtak, passen, alineum, dichtvallend, naam, wakker, flauwvallen, ergens, pijn, cancel-cultuur, invloed, zussen, leren, TREURIG, Word, Om, Vrouwen, Ze, onbereikbaar, SCHOONHEIDSIDEAAL, NAJAGEN, Maar, Zelf, JALOERS, ziek, Denk, val, AF.Het, lijden, wijzen, Strijven, tienerjong, jou, invult, geheim, losraak, Barry, gestommel, klonk, pornofilmp, klikken, kleren, wegvluchten, glazen, salontafel, smken, diep, snijwond, oplopen, mannelijk, theorie, dwalen","geest, yogadocent, achteren, verbergen, genitalien, ervan, overhangende, bomen, gezin, hoogseizoen, waarschuwen, boeken, kennen, uitdrukkingsloos, week, vakantie, ticket, terugvliegen, zeker, nergens, reserveren, restaurant, matig, goedkoop, huren, intussen, cancelcultuur, beinvloden, verband, telefoonscherm, dun, achterkant, spiegel, bekijk, gezond, wichten, periode, stress, weinig, maag, onuitroeibaar, stressen, lief, patat, geniet, eigen, terugzeken, moeras, idiote, XL-massagestoel, aantreffen, pik, afstandbediening, trakteren, drinker, plaatselijk, nien, soort, pakken, cliche, heimen, theorieen, strook, schaduw, lacht, herinnering, vriendin."
"25","24_25","citeren, billen, Female","stilte, spreken, engel, moedertaalciteren, Femaal"
"26","25_26","intussen, naiefs, stiekem, geniet, slank, idiote, aantreffen, nien, androgynie, vriendschappelijk, heimen, GEESTESLEVEN, Van, zegt, student, stilte, herinnering, vriendin., spreken, engel, moedertaalciteren, Femaal","fietsongeluk, waterijs, besluiten, vakgebied, jeugd, Florida, aantref, idioten, vuilstort, androgyn, wezenlijk, verzonnen, erin, slecht, heteroseksueel, gemiddeld, aandacht, filosofiestudent, gedacht, dwalen, bleef, eraan, krimp, oproep, citeren, Amerikaans, zelden, correct, dwingen, lach, opkijk, geheim, geesteslef, dromen, Female"
"27","26_27","geest, verstand, schudden, verkeren, konden, klootzak, gemiddeld, aluminiumfoliehouder, rust, dromen","lust, veertig, liever, begeerten, Alsof, lesbisch, daarop, speciaal, I'm, betekenen, sexy, geillen, via, onszelf, zelf-ontkenning, femaal, handeling, sacrificed, room, for, desires, another.the, may, real, imagineden, female, someone, els, do, your, desiring, at, ow, expens, knapop, privilege, schoonheid, 's"
"28","27_28","gezond, wichten, treurig, lief, vakgebied, angst, werk, lacht, bleef, betekenen, sexy, geillen, zelf-ontkenning, oneerlijk, knapop, privilege, schoonheid, lelijk-mooi-discriminatie, bezig, roos","zonden, stinken, bang, gestommel, gemeenschap, terugdenken, zelf-ontkennaan, student, gigantisch, ondertussen, roze"
"29","28_29","kiezen, lust, waardesysteem, vijfendertig, afwijzen, onuitroeibaar, schoonheidsideaal, stinken, gestommel, lesbisch, gemeenschap, eraan, terugdenken, onszelf, zelf-ontkennaan, bloemmen, aantal, bruinverbrande, tand, ondertussen, campagne, EU, lanceren, roze, v, last, enkel, a-relaxed, focussen, baan, slachthuis, zeventien, minder, vlee, vegetarier, neiging, logeren, verblijf, zonde, besteden, kopieer, 6, uur, 's, ochtend, Schiphol, zu, bloed, boos, kickboks, komen.Waarom","eter, contro, waardensysteem, keelgat, stikken, vrouwe, omvang, beoordelen, afschuwelijk, hardnekkig, schoonheidsidealen, werk, redding, armoede, blijkbaar, schaamken, ontkennen, ballonmouw, mode, peervorm, auto, stappen, bruinverbrand, intussen, publiceren, EU-campagne, kapen, #Letstalkaboutporken, roos, aarzelen, uitgever, vijfentwintig, solliciteren, zin, onthouden, aanstoot, verhullen, Nederland, landden, verheugen, schuifdeur, open, vliegveld, nadat, maand, eindelijk, bloijden, kickboksles, eraf, kapot, kotsen, redacteur, sindsdien, onthullen, twaalf, vrien, ergeren, blut, vierentwintig, pizza, portemonnee, truc, ontspannen, tafel, staat, haast, graaien, -------, -----------, dromen, zelf-ontkenning"
"30","29_30","","middenrif"
"31","30_31","verpleegkundig, fietsongeluk, giechelende, rotvrienden, schoonheidsidealen, besluiten, blijkbaar, wijd, jurk, mode, nieuwsuitzending, regio, talkshow, bruinverbrand, intussen, roos, Flikker, rem, eraf, kotsen, redacteur, sindsdien, onthullen, behalve, trouwens, onbegrip, tekren, denkbeeld, dromen","gbij, ver[, pleegkundigen, schoonheidsideaal, jaloezien, waarschijnlijk, maxi-jurk, nieuwsreportage, roze, tuttig, exploderen, brullen, baby, Schiphol, kenden, weggeweest, waa, kopieer"
"32","31_32","brullen, baby, kenden, weggeweest, waa, buitenland, Nederland, landden, schuifdeur, open, ophalen, vliegveld, nadat, maand, verklaren","dikk, glimlachen, helder, geur, opsnuiven, blijken, aankwam, broer, druk, bloeding, slapen, wél, reden"
"33","32_33","gbij, uitdrukkingsloos, terugvliegen, matig, ver[, pleegkundigen, gorilla-man, intelligentie, oplepelen, fei, eerder, bed, zonden, periode, afschuwelijk, hardnekkig, schoonheidsideaal, jaloezien, waarschijnlijk, peervorm, kop, koffie, hamren, opstaan, kalmeren, broer, bloijden, kickboksles, wél, reden, handen, twaalf, vrien, overmorgen, vertrekken, geldgebrek, zoveel","lekker, ooit, toegeven, verpleegkundigen, Ongelooflijk, onnozel, regelmatig, giechelende, rotvrienden, prins, herhalen, boeit, studeren, reageer, biezen, stand, zelfondermijnen, opmerking, energie, videorecorder, wijd, wind, lichaamsvorm, timmren, dorr, reiken, zelfverwijt, tekren, eeuwig, angst, dromen, slikken, terugkomen, neen, schooljaar, highschool, nadat, leren, Montreal, natuurlijk, letten, eenmaal, eigenschap, opvallen, verkeren, parkeren, bekend, nicht, werkdag, onderbreken, lift, onverwachen"
"34","33_34","bil, achteren, zus, reageer, biezen, onderzoeksonderwerp, bang, terugzeken, moeras, vandaan, eens, naken, aantref, idioten, XL-massagestoel, videorecorder, springerig, cliche, lichaamsvorm, ontspannen, sinds, blut, vierentwintig, staat, graaien, eeuwig, -------, Aantekening, -----------, benauwdheid, zelfvertrouwen, gevoelen, Benauwdheid, woedenen, vinger-klem-incidenen, machteloos, diezelfde, Overwhelmeden, bedreigen, wereld, onvoorbereid, kudde, ogen, ongegeneerd, aanwezig, alren, jegen, reisgenoot, aanwezigheid, verdrag, slimen, intellectueel, dom, uitspraak, slavernijden, reizen, zwart, amerikaans, voordijden, opropen, punkster, precies, laars, plaats, bontrand, omgeslagen, kniekous, eroverheen, kopieren, initiatief, mannengesprek, zeghten, terugtrekken, haan, politiek, onderzoek, zakken, hadf, verwachten, gevoelig, doordat, betrekken, begeerte, standaard, schaamte, vertragen, autorijden, Afhankelijkheid, afkeuring, chauffeur, rots, springen, Dapper, opzoeken, (, vrouwonvriendelijk, ), gemakkelijk, macht, haarzelf, merken, leggen, kant, trainen, simpelweg, presenteren, beeld, schoonheidsnorm, glamourfoto, beharen, vanzelf, kenmerk, westerse, heersen, vrouwelijk, interessant, volg, wit, norm, sterken, behaard, theoreticus, Andrea, Long, chu, rarely, the, things, shoullen, bepalen, forceren, could, sooner, give, a, cat, bath, .', droom, ...., ....., dromen, tellen, letterlijk, wc, googal, trans-vrouw, slimmer, Female, stellen, skeptisch, bizar, claim, broad, indefensible, sweeping, generalisatie, geschiedenis, erom, reactie, lezer, I, dont, think, belief, becaus, they, aar, true, believen, them, make, us, feel, particular, way, provocatief, bewust, emotie, argument, or, production, truth, kans, realiseren, dwars, verkeerd/fout, niveau, haaf, investment, some, being, and, other, not, those, thatten, tendrils, desir, Provocation, can, be, an, education, senses, if, let, ien, The, trick, desire, to, gen, crushed, by, it, erg, voeden, zelfhaat, Amerikaans, zelf-ontkenning, femaal, handeling, sacrificed, room, for, desires, another.the, may, real, imagineden, female, someone, els, do, your, desiring, at, ow, expens, oproep, citeren, zelden, correct, dwingen, verzonnen, erin, slecht, wennen, jongen, lijken, eet, vrij, nieuw, liefde, exploreren, porno, puur, geestelijk, ingewikkellen, rilling, lach, opkijk, geheim, geesteslef, behoefte, vrijheid, verliefdheid, nodig, verdienen, Verenigde, Staten, 1, niemand, donker, appartement, ontmoeten, dagelijks, rituel, bord, pap, ontbijt, versleten, ochtendjas, prettig, samen, Japan, onrecht, seks, alsjeblieft, Jaloezie, kapitalisme, dooft, kopieer, schollen, verkeer, schellen, verzamelen, rollen, vaart, verrassen, verstikken, wanneer, spijt, erbij, spijten, rechtvaardig, kwaeden, meerdere, den, wenen, hypocriet, weigeren, uitbarsting, ophouden, daaraan, krimpen, hart, aarzelen, uitgever, vijfentwintig, solliciteren, onthouden, aanstoot, slikken, Schiphol, terugkomen, neen, schooljaar, highschool, nadat, Montreal, verheugen, aankomsthal, glimlachen, helder, geur, opsnuiven, natuurlijk, letten, eenmaal, eigenschap, opvallen, eindelijk, aankwam, verkeren, parkeren, bekend, nicht, druk, schaamlipcorrectie, werkdag, onderbreken, lift, onverwachen, bloeding","bereid, billen, zusse, tegenstrijdig, wél, vakgebied, naakt, aantreffen, idioot, leunstoel, fladderig, cliché, gemiddeld, zweeg, peervorm, rest"
"35","34_35","genitalien, contro, familie, patientenfolder, beinvloden, Ongelooflijk, drieen, giechelend, morgen, tegenstrijdig, jezelf, wél, energie, aantreffen, idioot, leren, vuilstort, poeziebundel, theorieen, zweeg, erna, truc","genitalië, contrôal, proefen, passen, patiëntenfolder, eens, beïnvloeden, ongelooflijk, giechelenen, hoesten, muurtje, vanuit, kloppen, tegelijk, buigen, hardnekkig, vernietigen, schoonheidsideaal, rustig, treffen, belachelijk, nepleren, poëziebundel, theorie, haal, diep, adem, erbij, smoes"
"36","35_36","proefen, Nederlands, regelmatig, giechelenen, troosten, kloppen, buigen, hardnekkig, vernietigen, schoonheidsideaal, patat, geesteswetenschap, vergeten, erbij","irritant, zvijn, proeven, giechelend, schouderblaad, bezig, erg, esteswetenschappen, stribbellen, antwoorden, eindelijk, daarna, inhoud, kieperen"
"37","36_37","",""
"38","37_40","irritant, contrôal, bereid, goedgekomen, Heimlich-manoeuvre, wijn, muurtje, vogels, glas, boeit, inkomen, slechtbetalen, naakt, treffen, afstandbediening, stressen, gedachtengang, eruit, gespannen","irriteren, contro, bereiden, heimlichmanoeuvre, vogel, slecht, naken, aantref, afstandsbediening, gejamm, klonk, omdraaien, weggelopen, stresen, gedachtegang, eruitzien, liefst, nieuw, extra, uitbouw, achttien, verhuizen, stad, zolderkamer, uitbouwmogelijkheid, peuk, grond, vegen, schoen, overheen, bosbrand, doven, actief, ergens, naartoe, rijden, wandeling, historisch, brug, burgeroorlog, opgeblazen, nationalist, restaureren, symbolische, verbintenis, verschillend, bevolkingsgroep, land, werkelijkheid, helemaal, eenheid, leuk, achteloos, gebaar, no, problem, ontspant"
